Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lip.DN.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0,0,1,0.1085743308,0,0,0,0,0.0099003315,0,0,0,0,0.076009497,0.0760070384,0.1467584521,0.1467589885,0,0,0,0,0.4719998837,0.2399819493,1,0.0282503664,0,0.148974359,0,0,0,0.165836513,0,0.1063928008,0,0.1840487123,0,0.0454381108,0.0194527209,0.0006087124,0.0545714237,0,0.0035647303,0.0059623271,0,0.0193679985,0.16489923,0.1838460565,0.1460716128,0.2085953802
0,0,1,0.1130104065,0,0,0,0,0.0098988414,0,0,0,0,0.0776866525,0.0776856467,0.151584059,0.1515865475,0,0,0,0,0.4719998837,0.2403765321,1,0.0395789742,0,0.1437842846,0,0,0,0.1706302166,0,0.113452971,0,0.1880973577,0,0.0373363495,0.0203609467,0.0006914139,0.0588066019,0,0.0035647303,0.0059613958,0,0.0174808614,0.1643016934,0.1831784844,0.1460075378,0.2058446258
0,0,1,0.1175090671,0,0,0,0,0.0099033117,0,0,0,0,0.0794260278,0.0794238374,0.1565247923,0.1565273106,0,0,0,0,0.4719998837,0.24077034,1,0.0513590872,0,0.1383155584,0,0,0,0.1754015684,0,0.12062639,0,0.1920983195,0,0.0288024545,0.0212796032,0.0007811934,0.0631425977,0,0.0035649166,0.0059621409,0,0.0155180171,0.1636743546,0.1824766397,0.1459419727,0.2029538155
0,0,1,0.1220524311,0,0,0,0,0.0099018216,0,0,0,0,0.0812165588,0.0812095329,0.1615807414,0.1615758389,0,0,0,0,0.4719998837,0.2411631346,1,0.0635281205,0,0.1325845718,0,0,0,0.1801460981,0,0.1278728247,0,0.1960322261,0,0.0198617578,0.0222094357,0.000873208,0.0675584897,0,0.0035651028,0.0059626997,0,0.0134905307,0.1630067825,0.1817390323,0.1458540559,0.1999363303
0,0,1,0.1266300678,0,0,0,0,0.0099048018,0,0,0,0,0.0830589086,0.0830548629,0.1667385995,0.1667336971,0,0,0,0,0.4719998837,0.2415542603,1,0.0760152936,0,0.1266077161,0,0,0,0.1848354936,0,0.135165453,0,0.1998856664,0,0.0105425715,0.0231456012,0.0009693205,0.0720320791,0,0.0035660341,0.0059625134,0,0.0114102904,0.1623138785,0.180965662,0.1457646489,0.1968055964
0,0,1,0.1312464476,0,0,0,0,0.0098973513,0,0,0,0,0.0849547014,0.0849491656,0.1719914973,0.1719871312,0,0,0,0,0.4719998837,0.2419433594,1,0.0887431204,0,0.1204073429,0,0,0,0.1894697547,0,0.1424655318,0,0.2036556602,0,0.0008679926,0.0240907073,0.0010695308,0.0765401199,0,0.0035662204,0.0059623271,0,0.0092898477,0.1615911722,0.1801550388,0.1456528902,0.1935720444
0,0,1,0.1358836889,0,0,0,0,0.0099033117,0,0,0,0,0.0868994668,0.0868939012,0.1773345023,0.177330181,0,0,0,0,0.4719998837,0.2423301935,1,0.1016303897,0,0.114005059,0,0.0091224909,0,0.1940205693,0,0.1497402787,0,0.2073183507,0,0,0.0250421464,0.001174584,0.0810586065,0,0.0035665929,0.0059612095,0,0.0071422923,0.1608341932,0.1793161035,0.1455426216,0.1902580261
0,0,1,0.1405358315,0,0,0,0,0.0099003315,0,0,0,0,0.0888870209,0.0888874158,0.1827554107,0.1827535331,0,0,0,0,0.4719998837,0.2427142262,1,0.1146033406,0,0.1074165106,0,0.0194005668,0,0.1984685659,0,0.1569494605,0,0.2108782381,0,0,0.0260002911,0.0012814999,0.0855630413,0,0.0035647303,0.0059625134,0,0.0049810885,0.1600474119,0.1784384251,0.1454055309,0.1868709922
0,0,1,0.1451939344,0,0,0,0,0.0099003315,0,0,0,0,0.0909307674,0.090926677,0.1882497817,0.1882425249,0,0,0,0,0.4719998837,0.2430952191,1,0.1275748014,0,0.1006685197,0,0.0299274921,0,0.2028018236,0,0.1640632749,0,0.2143114656,0,0,0.0269617885,0.0013910234,0.0900288522,0,0.0035656616,0.0059612095,0,0.0028198832,0.1592338085,0.1775294542,0.1452639699,0.1834347844
0,0,1,0.1498505473,0,0,0,0,0.0099018216,0,0,0,0,0.093023099,0.0930160284,0.1938058138,0.1937994659,0,0,0,0,0.4719998837,0.2434726357,1,0.1404665411,0,0.0937871635,0,0.0406652689,0,0.2069979757,0,0.1710444689,0,0.2176120728,0,0,0.0279277563,0.0015027821,0.0944316387,0,0.0035660341,0.0059621409,0,0.0006723305,0.1583904028,0.1765877008,0.1451060176,0.1799538732
